true_scale,pred_scale,true_y,pred_y,true_x,pred_x
7.111778351436089,7.099480924105493,131.0,132,246.0,247
6.697985159334796,6.691279820985942,125.0,125,244.0,245
6.982941009205928,6.959355154041344,129.0,131,244.0,245
6.981087012971091,6.9633470317562605,126.0,127,250.0,251
6.916935023540615,6.897456504764863,125.0,127,247.0,248
7.086873594987679,7.072695938169311,126.0,127,246.0,247
6.948312631732935,6.9328014813631835,124.0,125,250.0,251
6.870323076167549,6.854462448978056,129.0,130,245.0,246
6.956803603267392,6.946450223173872,130.0,131,246.0,247
6.805288874734702,6.800382590220735,128.0,128,244.0,245
7.002485135155683,6.982274625338645,130.0,132,244.0,245
7.055144133328308,7.041425771726002,129.0,130,245.0,246
6.983975144583754,6.962434904277434,129.0,130,247.0,248
6.798202271670083,6.797141213509114,124.0,124,245.0,246
7.104615584080713,7.094416185361794,127.0,128,243.0,244
7.003100113713913,6.983116696824216,128.0,129,246.0,247
6.9493899929007705,6.93213320300024,126.0,127,246.0,247
6.89194855498904,6.87617489834548,124.0,125,243.0,244
6.859222281970483,6.839236343520879,125.0,126,245.0,246
6.789673606237589,6.771596685865959,129.0,130,244.0,245
6.985161583776899,6.95980567294748,125.0,127,244.0,245
6.883792234581734,6.871770131237272,127.0,128,244.0,245
6.985714947292326,6.965562931459112,127.0,128,246.0,247
6.935910825880258,6.917385824926882,128.0,129,247.0,248
6.9874464816833495,6.963586628239107,130.0,132,244.0,245
6.73471980968618,6.727709529798651,127.0,127,242.0,243
6.983014880281805,6.9685616856948815,124.0,125,246.0,247
6.962698786400191,6.950047581009711,125.0,126,243.0,244
7.007679732896573,6.989288638312938,131.0,132,247.0,248
7.127447489116952,7.116585438916661,128.0,129,246.0,247
6.997388778122718,6.98801557392099,125.0,125,245.0,246
7.027918880153586,7.022234221014328,128.0,128,247.0,248
6.865517712531603,6.848883552281652,126.0,127,245.0,246
6.863340954872589,6.849431050006957,125.0,126,246.0,247
6.942623916527194,6.922615201381278,126.0,127,248.0,249
6.952893977656997,6.945290974119546,128.0,128,240.0,241
6.949050586881022,6.933926927584546,124.0,125,249.0,250
6.983651039822271,6.971836766211169,123.0,124,242.0,243
6.98899449462583,6.968544148046264,125.0,126,246.0,247
7.081158183982317,7.067629586215806,125.0,126,246.0,247
6.975678012013471,6.960082852115983,128.0,129,247.0,248
6.9665877975926875,6.945767817637336,128.0,129,247.0,248
7.119086394667933,7.103928907233697,125.0,126,245.0,246
6.9560887822342705,6.9353592188433915,128.0,129,245.0,246
6.8813480533812585,6.873893726501236,122.0,122,244.0,245
7.075055276688837,7.061846077043504,127.0,128,244.0,245
6.895123832582618,6.875975793996516,123.0,124,246.0,247
7.05481075307528,7.039033595919157,124.0,125,245.0,246
7.030087276138716,7.010026291455437,125.0,126,244.0,245
7.130483566585078,7.131992210533419,123.0,123,246.0,247
6.9062087504913094,6.894978027864669,126.0,127,243.0,244
7.074164631138596,7.062316499465451,125.0,126,245.0,246
7.269439056735252,7.255617430253595,128.0,129,240.0,241
6.99805131752111,6.986698547326907,125.0,126,246.0,247
7.057693734412549,7.040966728632768,130.0,131,247.0,248
6.779191315248277,6.759420714506607,125.0,126,246.0,247
6.839062853016214,6.8342399551345325,126.0,126,248.0,249
6.76946077676181,6.750491561557031,125.0,126,246.0,247
6.988183728912888,6.9600300709902845,125.0,127,249.0,250
6.83917097931857,6.823882471265412,127.0,128,247.0,248
6.997756198887486,6.984912990729465,123.0,124,248.0,249
6.966824106784302,6.953879570206465,130.0,131,246.0,247
6.904928686021162,6.887691114709386,124.0,125,246.0,247
6.932080844082468,6.920394216231802,127.0,128,242.0,243
6.8835578898595875,6.862278230038306,127.0,129,245.0,246
6.9456152237252535,6.93116755162566,129.0,130,243.0,244
6.928053611831435,6.914435547617772,128.0,129,245.0,246
6.973125366485084,6.957192620633515,127.0,128,245.0,246
6.971208847917303,6.952434082597289,125.0,126,245.0,246
7.083428176829077,7.073514729451172,125.0,126,245.0,246
6.784250610932942,6.765972727434932,129.0,130,245.0,246
7.0352663031073455,7.018900534846772,124.0,125,244.0,245
6.978393361927257,6.9610110263695555,128.0,129,245.0,246
7.062595716761716,7.047750013702452,125.0,126,245.0,246
7.081140541199776,7.069858571085796,128.0,129,245.0,246
6.9011130579767945,6.872725371812172,129.0,131,243.0,244
7.050585249133864,7.034652836361086,130.0,131,247.0,248
6.789966170873287,6.77939143852232,125.0,125,245.0,246
6.998968749610009,6.983319985142845,129.0,130,246.0,247
6.853575657720066,6.843862950446805,126.0,126,245.0,246
6.784924275461555,6.770549121819871,126.0,127,245.0,246
7.0621164814032396,7.047256050664495,124.0,125,245.0,246
7.054321862719526,7.0321395267041815,126.0,127,241.0,242
6.959209134106165,6.933969553883821,129.0,131,245.0,246
7.007869050522289,6.991802220633002,129.0,130,246.0,247
7.021711060623942,7.00915310364964,127.0,128,247.0,248
6.989030214756879,6.966840274096549,124.0,125,248.0,249
6.879717075691391,6.870645223604977,122.0,122,243.0,244
6.93792529019295,6.925641355166321,126.0,127,240.0,241
6.850197838366309,6.837258969649822,124.0,125,242.0,243
7.033843404300008,7.024565013873729,125.0,126,246.0,247
7.173347932794396,7.168533224135572,126.0,126,244.0,245
6.886187150240683,6.875335131944272,123.0,124,246.0,247
6.943978604613654,6.9297224085320694,127.0,128,243.0,244
7.001847530764908,6.990738036735273,127.0,128,244.0,245
7.05858853902385,7.0462209539394856,124.0,125,245.0,246
7.031442067273028,7.019303258845995,127.0,128,247.0,248
6.9234846506021155,6.910467580723766,128.0,129,244.0,245
6.793721216545269,6.779422736361389,128.0,129,246.0,247
6.903856922326462,6.890478344721499,126.0,127,246.0,247

